mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		D.bV.V(#4){		D	bV		V(#4)		V			#4			{	M	0	0	1, 5, 7		1	1
3	3	1/2	1/2	4/4	2	1		V(6#4#2)		D	bV		V(6#4#2)		V			6#4#2				M	0	0	1, 10, 7, 4		1	1
4	4	0	0	4/4	2	1		V7		D	bV		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	1/2	1/2	4/4	2	1		V(b64)		D	bV		V(b64)		V			b64				M	0	0	1, 0, -3		1	1
5	5	0	0	4/4	2	1		V(4)		D	bV		V(4)		V			4				M	0	0	1, 0, 2		1	1
5	5	1/2	1/2	4/4	2	1		V(b2)		D	bV		V(b2)		V			b2				M	0	0	-4, 5, 2		1	-4
5	5	3/4	3/4	4/4	2	1		V		D	bV		V		V							M	0	0	1, 5, 2		1	1
6	6	0	0	4/4	2	1		I|IAC}		D	bV		I		I					IAC	}	M	0	0	0, 4, 1		0	0
7	7	0	0	4/4	2	1		VI.V(#4){		D	VI		V(#4)		V			#4			{	M	0	0	1, 5, 7		1	1
9	9	1/2	1/2	4/4	2	1		V(6#4#2)		D	VI		V(6#4#2)		V			6#4#2				M	0	0	1, 10, 7, 4		1	1
10	10	0	0	4/4	2	1		V7		D	VI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	1/2	1/2	4/4	2	1		V(b64)		D	VI		V(b64)		V			b64				M	0	0	1, 0, -3		1	1
11	11	0	0	4/4	2	1		V(4)		D	VI		V(4)		V			4				M	0	0	1, 0, 2		1	1
11	11	1/4	1/4	4/4	2	1		V(4b2)		D	VI		V(4b2)		V			4b2				M	0	0	-4, 0, 2		1	-4
11	11	1/2	1/2	4/4	2	1		V(b2)		D	VI		V(b2)		V			b2				M	0	0	-4, 5, 2		1	-4
11	11	3/4	3/4	4/4	2	1		V		D	VI		V		V							M	0	0	1, 5, 2		1	1
12	12	0	0	4/4	2	1		I|IAC}		D	VI		I		I					IAC	}	M	0	0	0, 4, 1		0	0
